Date,Not indexed,Indexed,Impressions
2025-04-30,,,87
2025-05-01,,,90
2025-05-02,,,118
2025-05-03,29,56,96
2025-05-04,29,56,136
2025-05-05,29,56,115
2025-05-06,29,56,170
2025-05-07,29,56,114
2025-05-08,29,56,99
2025-05-09,29,56,82
2025-05-10,29,56,103
2025-05-11,29,56,78
2025-05-12,29,56,104
2025-05-13,29,56,83
2025-05-14,31,54,84
2025-05-15,31,54,82
2025-05-16,31,54,86
2025-05-17,31,54,87
2025-05-18,31,54,76
2025-05-19,31,54,116
2025-05-20,31,54,87
2025-05-21,37,48,86
2025-05-22,37,48,61
2025-05-23,37,48,45
2025-05-24,37,48,39
2025-05-25,45,43,36
2025-05-26,45,43,61
2025-05-27,45,43,45
2025-05-28,45,43,36
2025-05-29,45,43,33
2025-05-30,45,43,35
2025-05-31,45,43,45
2025-06-01,60,29,44
2025-06-02,60,29,40
2025-06-03,60,29,29
2025-06-04,65,29,54
2025-06-05,65,29,36
2025-06-06,65,29,32
2025-06-07,65,29,36
2025-06-08,66,28,39
2025-06-09,66,28,32
2025-06-10,66,28,64
2025-06-11,66,28,42
2025-06-12,66,28,39
2025-06-13,66,28,26
2025-06-14,66,28,47
2025-06-15,65,29,36
2025-06-16,65,29,49
2025-06-17,65,29,54
2025-06-18,65,29,39
2025-06-19,65,29,45
2025-06-20,65,29,48
2025-06-21,65,29,45
2025-06-22,65,29,43
2025-06-23,65,29,54
2025-06-24,65,29,51
2025-06-25,64,30,36
2025-06-26,64,30,59
2025-06-27,64,30,39
2025-06-28,64,30,57
2025-06-29,63,32,54
2025-06-30,63,32,77
2025-07-01,63,32,61
2025-07-02,72,112,70
2025-07-03,72,112,57
2025-07-04,72,112,80
2025-07-05,72,112,88
2025-07-06,67,117,70
2025-07-07,67,117,92
2025-07-08,67,117,78
2025-07-09,68,133,69
2025-07-10,68,133,82
2025-07-11,68,133,47
2025-07-12,68,133,61
2025-07-13,71,141,78
2025-07-14,71,141,67
2025-07-15,71,141,63
2025-07-16,72,142,70
2025-07-17,72,142,65
2025-07-18,72,142,68
2025-07-19,72,142,68
2025-07-20,73,143,74
2025-07-21,73,143,101
2025-07-22,73,143,77
2025-07-23,76,144,110
2025-07-24,76,144,74
2025-07-25,76,144,66
2025-07-26,76,144,63
